Years,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Global.cp total import to from[Wheat, CHIHKG, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, CHIHKG, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, CHIHKG, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, CHIHKG, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, CHIHKG, OCEANIA]",369.371200375,148.446452322,324.891266795,410.622923097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, CAN]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51463222393,13.434850394,16.3147294877,19.6307505905,23.1393112565,26.668396593,30.1193016811,39.982931111
"Global.cp total import to from[Wheat, INDIA, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240780529214
"Global.cp total import to from[Wheat, INDIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.82850048,649.447773259,788.662651711,948.960865545,1118.56654369,1289.16439527,1455.98297228,1900.74130978
"Global.cp total import to from[Wheat, INDIA, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, INDIA, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, CAN]",903.869432205,1019.42291027,1085.5863294,1219.69875223,1149.83324636,1084.46287787,1014.63678571,880.284268691,945.103979437,813.288954642,1015.67768012,1001.33705689,1004.67399013,1010.89399364,1017.66204674,1021.31208949,1015.75654624,1005.04066811,992.801333686,978.993599699,964.074708398,956.249387956,961.174885348,969.999169494,979.070930183,987.655227126,996.295213625,1006.77446848,1019.34139758,1049.16123167
"Global.cp total import to from[Wheat, RSASIA, USA]",634.3210051,712.924606642,743.374983485,726.475081726,636.275041985,570.123002386,543.550959088,477.833337524,515.993419144,422.308317307,531.944114962,530.817936103,533.855827702,535.215976328,535.712141115,534.909989743,532.506715269,531.877893623,532.839553098,533.99481289,535.412804879,550.477983708,566.934590598,582.384698596,597.675243163,613.716039249,630.868428194,650.082177328,671.421653423,708.435570226
"Global.cp total import to from[Wheat, RSASIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, SOAmer]",174.698149203,195.848544567,194.486589715,192.893117204,174.34746298,143.190100542,160.426452583,127.055356286,135.206325219,119.990895961,152.429243325,153.749855497,159.405379861,165.5008834,171.211543842,176.269323307,180.551175917,185.322791818,190.826571909,196.553080118,202.363303059,209.508927111,216.275073437,222.225100352,228.207236875,234.672260945,241.766153094,249.826833786,258.836190076,274.2633489
"Global.cp total import to from[Wheat, RSASIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, EU27]",0,0.717592840435,0.217115082252,0.270893214015,0.217341502199,0.18706106391,0.0841458943083,0.144752611865,1.32901049902,0.921106171708,0.949129361611,0.750705931618,0.570045212061,0.391498773624,0.247656152786,0.111834930581,0,0,0,0,0,0,16.0670053442,44.0549811006,58.3531303877,66.8827143181,73.1940338492,79.518979745,86.4904559738,110.061150649
"Global.cp total import to from[Wheat, RSASIA, OthCEECIS]",0,0,0,0,0,30.3366143081,17.317058276,96.6367150194,77.9490363031,72.0284819068,68.9798498611,75.7411701809,84.8548052674,93.5432798423,101.324839551,109.046641238,118.970195623,127.977991381,137.165188581,146.506957973,156.096463838,165.841327879,174.000823736,179.013580779,183.201382922,189.053571267,196.419869997,204.849034627,214.106234892,230.020381206
"Global.cp total import to from[Wheat, RSASIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, Russia]",0,0,0,0,0,0,0,52.5264620889,41.1673386666,33.4505890044,41.1051666217,50.9324126815,56.3165635894,59.9801119614,64.2298941799,68.2642506039,72.1496885868,76.393468169,80.9404962657,85.6057833694,90.4266451245,95.5100812785,100.738801611,106.157454055,112.188657082,120.070015753,131.101639714,143.300132328,156.851691105,173.477858614
"Global.cp total import to from[Wheat, RSASIA, CHIHKG]",0,0,0,0,0,8.68762190348,6.43519046808,45.9035769181,62.105719716,110.0822475,123.45637585,101.29926353,84.5840673153,69.1888887662,56.458137061,46.1562558872,37.8826181419,31.6510408129,27.4391358237,25.1029733264,24.5288448352,30.526531123,28.5723477643,35.4697501567,54.1927380867,75.0801548464,97.7298948257,122.456851059,146.672714832,129.575075206
"Global.cp total import to from[Wheat, RSASIA, INDIA]",262.819192703,266.767917354,152.195942872,94.4786577435,82.9894422902,60.8707779589,43.6322296972,62.0324661868,72.1163463329,43.2692698078,98.5980992768,83.3342975868,73.8368064386,64.2120990923,55.0590372632,46.1397218932,36.9589696008,27.7229787878,18.4649819575,9.15941845956,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSASIA, OCEANIA]",796.162934507,893.696745563,933.299897068,1031.73961009,989.912805277,870.919307046,802.25147209,726.42993416,770.118243822,629.37629741,773.696130182,836.435759228,935.096799895,1013.54976434,1073.38205301,1143.36180794,1208.72664255,1261.79160816,1320.31093773,1388.08229208,1451.13272572,1511.81878662,1570.31503619,1618.04037168,1656.62551845,1696.00877108,1741.27137481,1791.47092719,1845.8708783,1936.50420248
"Global.cp total import to from[Wheat, EASIA, CAN]",682.462837093,808.994632932,793.572701727,751.394152573,743.263677001,759.366930938,717.262316172,708.836899201,728.285596952,716.985313916,672.074936798,622.801413438,591.460628398,568.51636261,547.820169932,526.518351315,501.857428591,474.194156882,445.47722218,417.508722993,391.083583582,372.446095649,359.840019802,349.124784704,337.820562832,327.111549527,316.652035782,306.316064968,296.123857199,284.773573645
"Global.cp total import to from[Wheat, EASIA, USA]",1197.77941427,1186.68304599,1137.28651328,1079.84415341,1019.57940988,992.929316685,956.121088048,957.628134735,989.736194925,926.878257594,876.339060633,821.96706204,782.465658176,749.380274278,717.91826901,686.43782073,654.85561587,624.61774744,595.12273324,566.868375496,540.637177989,533.63714034,528.158923641,521.508251151,512.987959915,505.543814975,498.615418344,491.779840349,484.892407487,477.931833348
"Global.cp total import to from[Wheat, EASIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, EASIA, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, EASIA, SOAmer]",390.65534595,361.630701757,344.0445438,335.668876477,326.894138181,291.990907754,330.511413355,298.223397997,303.859280481,308.555716024,294.199968964,278.943342469,273.822097777,271.754252471,269.295541703,265.711286931,261.018472222,255.978119751,250.74224773,245.496489549,240.418147186,238.932268398,236.996502085,234.050988932,230.364338493,227.343139471,224.718770933,222.253110594,219.82178683,217.578151866
"Global.cp total import to from[Wheat, EASIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, EASIA, EU27]",400.895461167,537.752058545,412.1152197,511.096822686,440.956615911,412.734283507,187.469057227,367.604768013,362.246045986,287.343644072,222.277683874,165.163706565,118.382896147,77.2425150345,46.4299853283,19.9019449819,0,0,0,0,0,0,12.2357019143,27.1445835484,33.2557236753,35.8534074232,37.274497721,38.4725370233,39.6862745353,46.088766318
"Global.cp total import to from[Wheat, EASIA, OthCEECIS]",189.353261698,216.623425928,138.01007677,45.4806163911,143.232972129,215.363750153,200.478030583,312.814510203,281.542709545,298.12589739,235.259712734,242.819492267,257.693397895,271.874730697,282.481853879,291.735563243,305.654092909,314.435182694,320.728428854,325.682351004,330.062845044,336.551409327,339.200487604,335.347435607,328.901925001,325.7111646,324.663061525,324.05532815,323.312517118,324.429438708
"Global.cp total import to from[Wheat, EASIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, EASIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, EASIA, Russia]",109.407873545,164.815561546,107.635823521,64.1386535167,158.674091291,145.480209786,88.0270504372,233.37498955,213.828826216,216.11421861,215.009208754,233.672748192,248.158620187,258.097735992,265.194867744,270.481984798,274.462366075,277.837106096,280.119387869,281.646117354,282.986222827,286.876452538,290.677955254,294.346656181,298.082471487,302.712304832,307.186599564,311.399159669,315.157071709,319.86696813
"Global.cp total import to from[Wheat, EASIA, CHIHKG]",0,0,0,0,46.9607217275,105.083235461,106.590263164,161.343379979,177.484453876,296.449051821,260.562771452,215.776164558,170.469267479,132.913760683,103.447537421,80.6544767854,63.1699594849,50.2525572679,41.3729682811,35.9563371058,33.4197874109,39.939031146,35.9234159295,42.6295279311,51.6423889282,60.6150534643,69.4356344873,78.0336852441,85.2686086557,75.1296968372
"Global.cp total import to from[Wheat, EASIA, INDIA]",593.608957049,442.607501471,278.412817942,177.320762971,170.700094142,137.495122142,99.6420525961,161.572881954,172.216876236,121.397254615,190.813441713,161.095205437,135.100214577,112.088681396,91.7720400804,73.4179838974,56.1571972524,40.1084448265,25.3607900154,11.9457549937,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, EASIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, EASIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, EASIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, EASIA, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, EASIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, EASIA, OCEANIA]",766.762735412,653.630831894,591.61879213,614.215650184,632.317600693,602.774294288,560.699706565,578.334941885,586.668496478,548.610381444,506.223864792,514.439324447,544.78951465,565.076245856,573.840424828,586.350006848,595.011581789,593.769140252,591.167260701,590.82409148,587.515148912,587.506182046,586.294922938,580.586093098,569.706534271,559.736913542,551.3767776,542.95440944,534.075970884,523.412461765
"Global.cp total import to from[Wheat, Japan, CAN]",768.542142825,923.552974125,910.439956363,881.591706718,881.009069444,920.261141874,876.107516871,864.706247138,895.358901499,887.468332813,837.510679041,766.968287688,730.229986222,709.194644708,692.058120182,674.550458005,652.29191276,624.766019859,595.243801073,565.581304362,536.072532993,511.0549286,493.73543719,478.33533128,460.100766753,440.628878727,421.806683506,404.378604289,388.286813578,367.312887977
"Global.cp total import to from[Wheat, Japan, USA]",1348.85580231,1354.72426127,1304.77154931,1266.95376445,1208.53303467,1203.31058615,1167.86404833,1168.20531137,1216.78791393,1147.26910862,1092.0557836,1012.23705744,966.04889549,934.812983971,906.942086044,879.431733403,851.15213589,822.953927916,795.199171139,767.912471186,741.071099892,732.234526932,724.685312137,714.517653884,698.673140892,680.982388611,664.19694867,649.215853168,635.806009054,616.456505131
"Global.cp total import to from[Wheat, Japan, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, Japan, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, Japan, SOAmer]",439.928858194,412.839710607,394.711031216,393.831781486,387.475816991,353.857766567,403.706603739,363.801088206,373.566513907,381.923341476,366.619259683,343.513507066,338.066638904,338.999320344,340.199533703,340.416758217,339.260173929,337.259387798,335.040179828,332.563649881,329.549923725,327.852848488,325.182206341,320.672900442,313.748837206,306.237895838,299.343976282,293.40414343,288.237165254,280.641417318
"Global.cp total import to from[Wheat, Japan, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, Japan, EU27]",451.460563166,613.90087498,472.80628709,599.656942588,522.67693131,500.184176524,228.986029956,448.439041106,445.347571288,355.667514801,276.992822919,203.39601433,146.158064411,96.3560270364,58.6547376858,25.4974324621,0,0,0,0,0,0,16.788570758,37.1907522266,45.293228552,48.2955943752,49.6527117669,50.7889484234,52.0378777578,59.4472220257
"Global.cp total import to from[Wheat, Japan, OthCEECIS]",213.236462978,247.298561865,158.33443867,53.3612539964,169.777632613,260.994892666,244.875975778,381.600705991,346.130380991,369.01354601,293.17046504,299.027661439,318.153799864,339.149610675,356.857727245,373.757832581,397.275563831,414.278444271,428.555265225,441.188024931,452.429180916,461.801743858,465.415995515,459.459006443,447.953868203,438.742519039,432.478031921,427.796829145,423.937430267,418.46268441
"Global.cp total import to from[Wheat, Japan, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, Japan, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, Japan, Russia]",123.207531614,188.154402825,123.487053242,75.2522558591,188.080378254,176.304469583,107.521556392,284.692870274,262.882506191,267.501330313,267.935164018,287.763617252,306.381958662,321.96352509,335.0191755,346.528751129,356.733947827,366.059303821,374.293725667,381.534012702,387.899537699,393.639849314,398.838371001,403.283901528,405.978761437,407.762378453,409.197940129,411.088976273,413.243756541,412.577818679
"Global.cp total import to from[Wheat, Japan, CHIHKG]",0,0,0,0,55.6637207357,127.348208511,130.195785667,196.821904672,218.200505846,366.937984193,324.702040952,265.724309361,210.465016378,165.803015505,130.684688543,103.330708455,82.1054972067,66.2093569403,55.2822943018,48.708520135,45.8097216083,54.8026652692,49.2904137762,58.4066507411,70.3352766439,81.6502599206,92.4940041138,103.015010753,111.806852262,96.9054310933
"Global.cp total import to from[Wheat, Japan, INDIA]",668.481087986,505.283295728,319.413902805,208.045955014,202.335100917,166.627506347,121.708821595,197.101872873,211.724512707,150.262797676,237.783447038,198.385731315,166.797624546,139.824810343,115.935098832,94.059655357,72.9906214876,52.8441632469,33.8869246179,16.1824060645,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, Japan, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, Japan, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, Japan, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, Japan, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, Japan, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, Japan, OCEANIA]",863.474820434,746.188756022,678.744853645,720.64364819,749.501903858,730.489751073,684.872488842,705.507624885,721.253945909,679.057619639,630.834256026,633.52240261,672.608827497,704.90327767,724.929360925,751.203950788,773.369528253,782.309897931,789.913894156,800.364260447,805.328444535,806.151369085,804.453546489,795.460114395,775.922019206,753.982086393,734.479440019,716.773200597,700.297027416,675.11932541
"Global.cp total import to from[Wheat, RSEASIA, CAN]",711.525007706,755.227931629,703.425807069,684.553109829,717.201381717,761.101394647,696.485377449,618.687991947,558.776298836,541.386595411,518.947225983,509.533872879,500.011265453,491.580988225,488.595089683,484.794413497,476.134956221,462.668399189,446.623218616,428.738688506,409.185467758,386.512236329,364.7308882,341.045668649,316.114895486,292.327644828,270.867961698,251.587877189,234.146901335,221.886916327
"Global.cp total import to from[Wheat, RSEASIA, USA]",1248.78595676,1107.81474418,1008.09501351,983.785501676,983.828194712,995.197258302,928.425126877,835.838298456,759.373973808,699.874118061,676.671156199,672.477697488,661.483833638,647.969205485,640.303808228,632.041067272,621.29129157,609.435795694,596.653694864,582.115751076,565.661372274,553.790969783,535.337546492,509.439999713,480.02742632,451.786043637,426.521628716,403.915629076,383.407320734,372.389963571
"Global.cp total import to from[Wheat, RSEASIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSEASIA, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSEASIA, SOAmer]",407.291112321,337.596314961,304.962368745,305.809104953,315.431703221,292.657841765,320.937488686,260.295754166,233.135688561,232.986541497,227.168503717,228.21252254,231.484780296,234.97867919,240.181881886,244.655000506,247.640090121,249.756318532,251.387285698,252.099745863,251.546257997,247.956003483,240.217707728,228.634801983,215.562955007,203.168260569,192.227140708,182.544093138,173.814398877,169.53028527
"Global.cp total import to from[Wheat, RSEASIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSEASIA, EU27]",417.967295203,502.012446525,365.300470129,465.631677058,425.494617852,413.677006461,182.03864073,320.853296448,277.93286822,216.969572679,171.633222917,135.125741929,100.078988978,66.7895497314,41.4104191312,18.3248156894,0,0,0,0,0,0,12.4020069514,26.5164292312,31.1189748954,32.0408807523,31.8850538765,31.5988125558,31.380174147,35.9109664029
"Global.cp total import to from[Wheat, RSEASIA, OthCEECIS]",197.416729038,202.226387229,122.332647562,41.4348411961,138.21055528,215.855660709,194.670783133,273.03118868,216.013324803,225.111116587,181.657384652,198.658438526,217.849837832,235.08285351,251.942616035,268.616983483,289.987932538,306.79252478,321.55350726,334.442411258,345.34029376,349.261918378,343.810827906,327.587141953,307.769298515,291.076171964,277.720689516,266.157741709,255.645137012,252.785561522
"Global.cp total import to from[Wheat, RSEASIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSEASIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSEASIA, Russia]",114.066926192,153.861732303,95.4087960247,58.4331333626,153.1102367,145.812499927,85.4771707186,203.694677603,164.059924564,163.185129127,166.020820498,191.175192933,209.789290707,223.170252366,236.524533598,249.047644502,260.39492336,271.084000608,280.839998945,289.221710415,296.084660205,297.710891632,294.628787699,287.535163844,278.930058402,270.522930969,262.771113659,255.762796991,249.19657765,249.230623068
"Global.cp total import to from[Wheat, RSEASIA, CHIHKG]",0,0,0,0,45.3140595344,105.323255208,103.502662831,140.823949608,136.174746079,223.844951582,201.195313254,176.533422099,144.11196631,114.926996165,92.2637785133,74.2630141408,59.9322121787,49.0311191921,41.4794008255,36.9234748048,34.9666718783,41.4474052095,36.4116792967,41.6430356549,48.3242590143,54.169459458,59.3960772629,64.0917387792,67.4223977992,58.5387771146
"Global.cp total import to from[Wheat, RSEASIA, INDIA]",618.88735149,413.191304679,246.786161788,161.547011397,164.714551734,137.80917361,96.7557210904,141.024263836,132.133203104,91.6655405526,147.337894683,131.797170266,114.211540059,96.9201036128,81.8505243408,67.599977009,53.2788858587,39.1335694304,25.4260310054,12.2670666436,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSEASIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSEASIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSEASIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSEASIA, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSEASIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, RSEASIA, OCEANIA]",799.414754284,610.189785105,524.413107237,559.577462774,610.145592922,604.151086055,544.457917219,504.783095055,450.120739004,414.24880099,390.884194569,420.879361689,460.556259448,488.606410702,511.802283343,539.884710502,564.514536014,579.336994395,592.688046817,606.715817344,614.709159665,609.694479101,594.263717826,567.150718035,533.101715387,500.216436551,471.654330304,445.947055684,422.29705787,407.827087399
"Global.cp total import to from[Wheat, MALAINDO, CAN]",1946.7786654,2361.46119926,2399.24336448,2363.53690553,2438.79355673,2632.00643947,2582.66951356,2636.61389903,2767.57636125,2722.24721169,2599.54667537,2453.12644951,2402.80195957,2398.61588445,2408.67422833,2418.06112699,2407.62055089,2375.08774073,2331.43578077,2283.65807535,2231.99254675,2194.23440298,2183.9881481,2178.70662675,2162.00463342,2132.13739455,2094.26085629,2052.36743857,2009.86915914,1947.75019571
"Global.cp total import to from[Wheat, MALAINDO, USA]",3416.75954032,3463.93641547,3438.40849687,3396.68800995,3345.43954231,3441.54617351,3442.73598333,3562.02626159,3761.12133538,3519.16797086,3389.62839831,3237.61169613,3178.75768309,3161.69515531,3156.56729621,3152.49906534,3141.61701873,3128.51167197,3114.61588863,3100.61436341,3085.52494255,3143.87769324,3205.57127075,3254.46239415,3283.05162044,3295.1721639,3297.7231629,3295.00488778,3291.09010171,3268.88415249
"Global.cp total import to from[Wheat, MALAINDO, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Wheat, MALAINDO, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
